Objekt_id,Objekt,Phasen_id,Phase,Phasendefinition,BBCH_Code,Hinweis_BBCH
310,Apfel,3,Austrieb Beginn,die ersten Knospen brechen auf und das erste Blattgrün wird sichtbar (an mind. 3 Stellen des Beobachtungsobjektes),53,
310,Apfel,29,Pflückreife Beginn,"die Äpfel haben ihre charakteristische Färbung angenommen, ein erstes Durchpflücken lohnt sich",87,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein, hohe Übereinstimmung zwischen Phase und zugeordnetem BBCH-Stadium"
310,Apfel,41,Blüte Ende im Beobachtungsgebiet,auch die zuletzt blühenden Sorten im Beobachtungsgebiet haben abgeblüht,,kein BBCH-Code vorhanden
310,Apfel,7,Blüte Ende,etwa 95% aller Blüten haben ihre Blütenblätter abgeworfen,69,"definierter Beobachtungszeitpunkt der Phase etwas später, hohe Übereinstimmung zwischen Phase und zugeordnetem BBCH-Stadium"
310,Apfel,5,Blüte Beginn,die ersten Blüten sind vollständig geöffnet (an  mind. 3 Stellen des Beobachtungsobjektes),60,
313,"Apfel, späte Reife",32,herbstlicher Blattfall,etwa die Hälfte der Blätter des Beobachtungsbaumes sind abgefallen,95,
330,Süßkirsche,29,Pflückreife Beginn,"die Kirschen sind soweit ausgefärbt, dass sich ein erstes Durchpflücken lohnt",87,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein, hohe Übereinstimmung zwischen Phase und zugeordnetem BBCH-Stadium"
330,Süßkirsche,5,Blüte Beginn,die ersten Blüten haben sich geöffnet(an mind. 3 Stellen des Beobachtungsobjektes),60,
350,Stachelbeere,4,Blattentfaltung Beginn,die ersten Blätter haben sich vollständig aus der Knospe herausgeschoben und sich bis zum Blattstiel oder Blattansatz entfaltet,11,Anlehnung an Skala für Johannisbeere
360,Rote Johannisbeere,29,Pflückreife Beginn,die Beeren haben ihre sortentypische rote Farbe erreicht und lassen sich leicht vom Stängel lösen,87,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein, hohe Übereinstimmung zwischen Phase und zugeordnetem BBCH-Mikrostadium"
360,Rote Johannisbeere,29,Pflückreife Beginn,die Beeren haben ihre sortentypische rote Farbe erreicht und lassen sich leicht vom Stängel lösen,87,"definierter Beobachtungszeitpunkt der Phase könnte etwas früher sein, hohe Übereinstimmung zwischen Phase und zugeordnetem BBCH-Mikrostadium"
361,"Johannisbeere, alle Sorten",29,Pflückreife Beginn,die Beeren haben ihre sortentypische Farbe erreicht und lassen sich leicht vom Stängel lösen,,
361,"Johannisbeere, alle Sorten",29,Pflückreife Beginn,die Beeren haben ihre sortentypische Farbe erreicht und lassen sich leicht vom Stängel lösen,,
,,,,,,
